Reference	Family	Scientific name	Vernacular name	Native/Exotic	Habit	Flowering (month)	Syndrome	Other usages	photo (book)	photo (internet)	Pollinator quoted	Pollinator species quoted	References about pollinator 
P. B. Cavalcante	Curcubitaceae	Cucumis melo L.	Melão 	Exotic	Liana	8 to 10	Mellitophily		no	yes	bee	Apis mellifera	DE SIQUERA, K. M. M. et al. 2011. Comparação do padrão de floração e de visitação do meloeiro do tipo amarelo em Juazeiro-BA. In: Embrapa Semiárido-Resumo em anais de congresso (ALICE). In: INTERNATIONAL FRUIT SYMPOSIUM: ADVANCES IN FRUIT PRODUCTION, Campinas.
S. Silva	Fabaceae	Dipteryx alata Vogel	Baru	Native	Tree	11 to 2	Mellitophily		no	yes			
P. B. Cavalcante	Humiriaceae	Duckesia verrucosa (Ducke) Cuatr.	Uxicuruá	Native	Tree		Undefined		no	no			
P. B. Cavalcante	Annonaceae	Duguetia marcgraviana Mart.	Pindaeua	Native	Tree	12 to 2	Cantarophily		yes	yes			
P. B. Cavalcante	Annonaceae	Duguetia stenantha R. E. Fries	Jaboti	Native	Tree	4 to 6	Cantarophily		no	no			
P. B. Cavalcante	Rubiaceae	Duroia macrophylla Huber	Cabeça-de-Urubu	Native	Tree	11 to 12	Phalenophily 		no	no			
P. B. Cavalcante	Rubiaceae	Duroia saccifera Hook. F. ex Schum.	Puruí-do-Mata	Native	Bush	8 to 11	Phalenophily 		no	no			
P. B. Cavalcante	Sapotaceae	Ecclinusa guianensis Eyma	Guajaraí	Native	Tree		Undefined		no	no			
P. B. Cavalcante	Arecaceae	Elaeis oleifera (Kunth) Cortés	Caiaué	Native	Tree	5 to 9	Undefined		no	no			
P. B. Cavalcante	Humiriaceae	Endopleura uchi (Huber) Cuatrecasas	Uxi	Native	Tree		Undefined		no	no			
P. B. Cavalcante	Vochysiaceae	Erisma japura Spruce ex. Warm. 	Japurá	Native	Tree		Mellitophily		no	no			
P. B. Cavalcante	Myrtaceae	Eugenia brasiliensis Lam.	Grumixama	Native	Tree	12 to 1	Mellitophily		yes	yes	bee	no species quoted	SILVA, A.L.G.; PINHEIRO, M.C.B. 2007. Biologia fl oral e da polinização de quatro espécies de Eugenia L. (Myrtaceae). Acta Botanica Brasilica 21:235-247.
P. B. Cavalcante	Myrtaceae	Eugenia patrisii Vahl	Ubaia 	Native	Bush		Mellitophily		no	no			
P. B. Cavalcante	Myrtaceae	Eugenia stipitata McVaugh	Araçá-Boi	Native	Bush	6 to 9	Mellitophily		yes	yes	bee	Apis mellifera, Eulaema mocsaryi, Ptilotrigona lurida	FALCÃO, M.A., GALVÃO, R.M.S., CLEMENT, C.R., FERREIRA, S.A.N. & SAMPAIO, S.G. 2000. Fenologia e produtividade do araçá-boi (Eugenia stipitata, Myrtaceae) na Amazonia Central. Acta Amazonica. 30:9-21.
P. B. Cavalcante	Myrtaceae	Eugenia uniflora L.	Ginja 	Native	Bush	1 to 4	Mellitophily		yes	yes			
P. B. Cavalcante	Arecaceae	Euterpe oleraceae Mart.	Açai	Native	Tree	7 to 12	Cantarophily		no	yes	beetle and bee	197 species quoted: 51 Coleoptera, 36 Diptera, 104 Hymenoptera (48 Apidae), 1 Hemiptera, 1 Neuroptera, 1 Lepidoptera	CAMPBELL, A.J. et al. 2018. Anthropogenic disturbance of tropical forests threatens pollination services to açaí palm in the Amazon river delta. Journal of Applied Ecology 55:1725-1736.
S. Silva	Arecaceae	Euterpe precatoria Mart.	Açai-do-Amazonas	Native	Tree	8 to 10	Cantarophily		yes	yes			
S. Silva	Crisobalanaceae	Exellodendron coriaceum (Berth.) Prance	Catanharana	Native	Tree		Undefined		no	no			
P. B. Cavalcante	Salicaceae	Flacourtia jangomas (Lour.) Raeusch.	Ameixa-de-Madagascar 	Exotic	Tree		Mellitophily		no	yes			
P. B. Cavalcante	Annonaceae	Fusaea longifolia (Aubl.) Safford	Fusaia	Native	Tree		Cantarophily		yes	no			
P. B. Cavalcante	Rubiaceae	Genipa americana L.	Jenipapo	Native	Tree	11 to 12	Mellitophily	Dye	no	yes			
P. B. Cavalcante	Gnetaceae	Gnetum spp.	Ituá 	Native	Liana		Undefined		yes	yes			
S. Silva	Malvaceae	Guazuma ulmifolia Lam.	Mutamba	Native	Tree		Mellitophily		yes	yes			
P. B. Cavalcante	Apocynaceae	Hancornia speciosa Gomes 	Mangaba	Native	Tree	8 to 10	Phalenophily 	Latex	no	yes	moth, butterfly, bee	Sphingidae, Hesperiidae, Nymphalidae, Apidae (Euglossini)	SCHLINDWEIN, C.; OLIVEIRA, R.; PINTO, E.; DUARTE JR, J.A.; MARTINS, C.F.; ZANELLA, F.C.V. 2012. Polinização da Mangabeira (Hancornia speciosa). In. Ribeiro, M.F. III Semana dos Polinizadores: Palestras e Resumos. Embrapa, Petrolina, p. 68-75.
P. B. Cavalcante	Moraceae	Helicostylis tomentosa (Poepp. & Endl.) Rusby	Inharé	Native	Tree	7 to 12	Undefined		no	no			
P. B. Cavalcante	Humiriaceae	Humiria balsamifera Aubl.	Umiri	Native	Bush	5 to 9	Mellitophily		yes	no			
S. Silva	Fabaceae	Hymenaea stigonocarpa Mart. Ex Haine	Jatobá-do-cerrado	Native	Tree		Chiropterophily		no	yes	bat	no species quoted	CARVALHO, P. E. R. 2007. Jatobá-do-Cerrado Hymenaea stigonocarpa. Circular Técnica n. 133, Embrapa - Colombo- PR.
P. B. Cavalcante	Leguminosae	Hymenea courbaril L.	Jutaí	Native	Tree	8 to 10	Chiropterophily	Boat	no	yes			
P. B. Cavalcante	Leguminosae	Inga alba (Sw.) Willd.	Inga-Turi	Native	Tree	8 to 10	Chiropterophily		yes	no			
P. B. Cavalcante	Leguminosae	Inga capitata Desv.	Ingá-Costela 	Native	Tree	8 to 12	Chiropterophily		no	yes			
P. B. Cavalcante	Leguminosae	Inga cinnamomea Spruce ex Benth.	Ingá-Açu	Native	Tree	5 to 10	Chiropterophily		no	yes			
P. B. Cavalcante	Leguminosae	Inga edulis Mart.	Ingá-Cipó	Native	Tree	3 to 9	Chiropterophily		no	yes	bee	no species quoted	GONÇALVES, C.B.S; SILVA, C.B; CANDIDO, A.C.S. 2010. Visitantes florais de Inga edulis (Fabaceae-Mimosoideae), na região do Pantanal-passo do Lontra. Visão Acadêmica 11:14–22.
P. B. Cavalcante	Leguminosae	Inga fagifolia (L.) Willd. Ex Benth.	Ingá-Cururu	Native	Tree	8 to 1	Chiropterophily		no	no			
P. B. Cavalcante	Leguminosae	Inga heterophylla Willd.	Ingá-Xixica	Native	Bush	4 to 5	Chiropterophily		no	no			
P. B. Cavalcante	Leguminosae	Inga macrophylla Humb. & Bonpl. Ex Willd	Ingapéua	Native	Tree	6 to 10	Chiropterophily		no	no			
P. B. Cavalcante	Leguminosae	Inga velutina Willd.	Ingá-de-Fogo	Native	Tree	5 to 12 	Chiropterophily		no	no			
P. B. Cavalcante	Caryocacee	Jacaratia spinosa (Aubl.) A. DC.	Jaracatiá	Native	Tree	10 to 11; 2 to 4	Phalenophily 		no	yes	moth	no species quoted	PIRATELLI, A.J.; RODRIGUES, F.C.M.; GANDARA, F.B.; SANTOS, E.M.G.; COSTA, L.G.S. 1998. Biologia da polinizacao de Jacaratia spinosa (Aubl) ADC. (Caricaceae) em mata residual do sudeste Brasileiro. Rev. Brasil. Biol. 58:671-679.
P. B. Cavalcante	Sapotaceae	Labatia macrocarpa Mart.	Cabeça-de-Macaco	Native	Tree		Undefined		no	no			
P. B. Cavalcante	Apocynaceae	Lacmellea arborescens (Muell. Arg.) Monach.	Tucujá	Exotic	Bush	9 to 12	Phalenophily 		no	no			
P. B. Cavalcante	Quiinaceae	Lacunaria jenmani (Oliv.) Ducke.	Moela-de-Mutum	Native	Bush	1 to 2	Mellitophily		no	yes			
P. B. Cavalcante	Lecitidaceae	Lecythis pisonis Cambess. Subesp usitata (Miers) Mori & Prance	Sapucaia	Native	Tree	5 to 8	Mellitophily		no	yes			
S. Silva	Arecaceae	Leopoldina major Wallace	Jará-Açu	Native	Tree	12 to 1	Undefined		no	no			
P. B. Cavalcante	Crisobalanaceae	Licania tomentosa (Benth.) Frit.	Oiti	Native	Tree	7 to 8	Mellitophily		no	yes			
S. Silva	Moraceae	Maclura tinctoria (L.) D.Don ex Steud	Taiuva	Native	Tree	9 to 10	Undefined		no	yes			
